Latitude,Longitude
43.854,6.932
43.958,4.543
44.567,4.248
43.815,3.780
43.966,3.428
43.222,6.219
43.877,4.312
43.886,4.440
43.665,7.029
43.593,3.967
43.846,5.774
43.561,3.733
43.868,6.916
43.197,2.790
43.315,3.109
44.805,1.158
43.685,3.801
43.968,4.544
44.322,0.908
44.179,4.533
41.673,9.301
43.690,4.423
43.387,4.801
43.647,3.975
43.643,3.878
44.168,4.857
43.431,3.721
44.409,1.069
43.690,4.069
43.763,3.881
44.323,0.912
43.380,3.540
44.098,4.030
44.283,4.929
43.328,3.111
42.572,2.884
43.613,5.248
43.361,3.345
43.829,6.013
43.651,4.005
44.176,4.856
44.005,5.466
44.645,-0.435
41.620,9.212
44.816,4.658
44.287,5.296
43.600,2.359
43.973,4.651
43.488,4.893
44.174,4.643
43.438,6.764
41.584,9.280
43.155,1.785
43.845,4.615
43.461,3.278
43.634,3.862
43.751,4.228
41.664,9.300
43.508,5.343
43.489,4.913
44.968,4.891
43.939,3.974
43.238,2.123
43.993,3.608
43.667,3.745
43.572,4.615
43.665,7.030
44.826,4.659
42.589,2.804
44.226,5.871
42.973,9.418
41.584,9.288
43.773,3.117
43.494,3.197
44.189,3.214
43.923,4.776
44.199,3.200
44.460,4.290
44.071,4.311
43.145,6.063
44.003,3.921
43.179,0.398
44.340,0.919
44.383,4.418
43.830,6.012
43.603,2.360
44.045,6.831
43.932,4.262
43.740,3.773
43.706,3.914
43.832,4.440
43.817,4.239
43.957,4.532
43.898,4.696
43.743,3.771
43.932,4.251
43.871,4.296
44.260,4.897
42.919,3.050
44.460,4.291
44.442,6.030
44.112,4.363
43.248,2.883
43.489,4.917
43.926,3.486
44.524,4.311
42.679,9.309
43.898,4.695
43.012,6.387
44.563,5.162
45.063,5.352
43.810,3.746
43.633,3.866
44.617,4.407
45.089,5.175
44.399,1.138
43.177,2.544
44.116,4.787
44.300,4.737
42.539,9.495
44.214,5.987
42.906,2.940
43.915,2.083
43.775,3.786
43.194,2.612
43.512,3.174
43.831,5.207
43.884,3.970
43.844,3.783
44.992,-1.163
41.874,9.395
45.058,5.701
43.948,6.239
43.721,4.209
43.979,4.662
44.220,5.993
43.657,4.139
44.023,4.408
43.371,6.598
43.453,4.841
44.334,0.919
43.756,4.804
44.857,4.947
43.812,4.391
44.093,4.425
45.102,5.715
43.424,6.111
43.774,4.832
42.609,2.790
43.848,5.866

